date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:34	6733/6733	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2000:45:16%20GMT	https://illuminati.cash/presale-itanimulli.html	D:/lumi/illuminati.cash/presale-itanimulli.html	(from )
01:02:41	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Jun%202022%2015:02:33%20GMT	https://illuminati.cash/robots.txt		(from )
01:02:43	155799/155799	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jun%202022%2021:31:00%20GMT	https://illuminati.cash/assets/css/vendors/bootstrap.css	D:/lumi/illuminati.cash/assets/css/vendors/bootstrap.css	(from https://illuminati.cash/presale-itanimulli.html)
01:02:45	15821/15821	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jun%202022%2021:31:00%20GMT	https://illuminati.cash/assets/css/vendors/swiper.css	D:/lumi/illuminati.cash/assets/css/vendors/swiper.css	(from https://illuminati.cash/presale-itanimulli.html)
01:02:47	23848/23848	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jun%202022%2021:30:59%20GMT	https://illuminati.cash/assets/css/vendors/animate.css	D:/lumi/illuminati.cash/assets/css/vendors/animate.css	(from https://illuminati.cash/presale-itanimulli.html)
01:02:49	136357/136357	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jun%202022%2022:22:53%20GMT	https://illuminati.cash/assets/css/main.css?ver=d	D:/lumi/illuminati.cash/assets/css/maind85a.css	(from https://illuminati.cash/presale-itanimulli.html)
01:02:50	4158/4158	---MCZ	200	added ('OK')	image/x-icon	date:Tue,%2007%20Jun%202022%2021:44:39%20GMT	https://illuminati.cash/favicon.ico	D:/lumi/illuminati.cash/favicon.ico	(from https://illuminati.cash/presale-itanimulli.html)
01:02:54	2986/2986	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2007%20Jun%202022%2021:31:16%20GMT	https://illuminati.cash/assets/images/C.svg	D:/lumi/illuminati.cash/assets/images/C.svg	(from https://illuminati.cash/presale-itanimulli.html)
01:02:55	5474/5474	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:50:27%20GMT	https://illuminati.cash/	D:/lumi/illuminati.cash/index.html	(from https://illuminati.cash/presale-itanimulli.html)
01:03:33	403039/403039	---M-Z	200	added ('OK')	application/javascript	etag:W/%226265f-PlBpatsySbpywzTZQo9qTn+EDME%22	https://cdn.jsdelivr.net/npm/web3modal@1.9.5/dist/index.min.js	D:/lumi/cdn.jsdelivr.net/npm/web3modal@1.9.5/dist/index.min.js	(from https://illuminati.cash/presale-itanimulli.html)
01:03:40	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	D:/lumi/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://illuminati.cash/presale-itanimulli.html)
01:03:43	750254/750254	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b72ae-I2VpOtfGa9/GSavEcSax34GI2zI%22	https://cdn.jsdelivr.net/npm/@walletconnect/web3-provider@1.7.1/dist/umd/index.min.js	D:/lumi/cdn.jsdelivr.net/npm/@walletconnect/web3-provider@1.7.1/dist/umd/index.min.js	(from https://illuminati.cash/presale-itanimulli.html)
01:03:46	18523/18523	---M-Z	200	added ('OK')	application/javascript	etag:%2261b6b874-2010%22	https://cdnjs.cloudflare.com/ajax/libs/bignumber.js/9.0.2/bignumber.min.js	D:/lumi/cdnjs.cloudflare.com/ajax/libs/bignumber.js/9.0.2/bignumber.min.js	(from https://illuminati.cash/presale-itanimulli.html)
01:03:51	1410842/1410842	---M-Z	200	added ('OK')	application/javascript	etag:W/%2215871a-8Ul/o/NNCwyOsapwQkoGbUYQmgA%22	https://cdn.jsdelivr.net/npm/web3@1.7.0/dist/web3.min.js	D:/lumi/cdn.jsdelivr.net/npm/web3@1.7.0/dist/web3.min.js	(from https://illuminati.cash/presale-itanimulli.html)
